"","subject","breed","fish_beef","fish_no_beef","no_fish_beef","no_fish_no_beef"
"1","1","Persian",63,91,71,39
"2","2","Siamese",70,102,76,56
"3","3","Manx",83,111,82,77
"4","4","Shorthair",80,107,81,57
"5","5","Persian",79,119,78,59
"6","6","Siamese",98,132,100,83
"7","7","Manx",161,209,191,149
"8","8","Shorthair",57,91,57,43
"9","9","Persian",76,125,94,79
"10","10","Siamese",93,126,98,73
"11","11","Manx",104,107,102,56
"12","12","Shorthair",69,101,90,72
"13","13","Persian",43,87,43,13
"14","14","Siamese",-6,27,17,-3
"15","15","Manx",135,150,117,99
"16","16","Shorthair",66,119,87,81
"17","17","Persian",46,63,57,37
"18","18","Siamese",88,104,90,67
"19","19","Manx",139,177,156,135
"20","20","Shorthair",54,94,73,59
"21","21","Persian",97,109,106,81
"22","22","Siamese",88,124,94,77
"23","23","Manx",129,148,143,114
"24","24","Shorthair",27,52,44,5
"25","25","Persian",86,113,93,55
"26","26","Siamese",133,166,130,139
"27","27","Manx",71,107,92,80
"28","28","Shorthair",57,100,79,49
"29","29","Persian",111,127,127,87
"30","30","Siamese",33,66,44,39
"31","31","Manx",44,65,48,34
"32","32","Shorthair",90,136,117,79
"33","33","Persian",80,112,100,80
"34","34","Siamese",76,113,104,86
"35","35","Manx",113,155,114,83
"36","36","Shorthair",55,89,61,51
"37","37","Persian",73,117,88,69
"38","38","Siamese",17,60,40,24
"39","39","Manx",104,120,116,56
"40","40","Shorthair",71,91,94,68
